idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,0.036917,-0.034156,0.261220,0.999966,0.008114,0.000994,-0.001052
0,456,-0.053957,0.005774,0.108843,0.999980,-0.004928,-0.001936,-0.003317
645,189,0.042641,0.069352,0.075250,0.999988,0.000626,0.001557,0.004662
2,458,-0.012473,0.060886,0.027818,0.999990,-0.002294,-0.000125,-0.003898
189,270,-0.014770,0.029889,-0.159782,0.999953,-0.008827,-0.000894,-0.003881
646,189,0.023758,0.074510,0.073028,0.999984,0.001588,0.005034,-0.001997
3,273,-0.058617,-0.015221,-0.033904,0.999981,-0.000173,-0.004386,0.004272
189,273,0.129955,-0.073970,-0.298507,0.999952,0.006270,0.007303,-0.001822
273,458,-0.026657,-0.085000,0.004704,0.999985,-0.003283,-0.003081,0.002966
647,635,-0.033636,0.074148,-0.218948,0.999985,-0.004546,0.001811,-0.002363
179,192,0.068111,-0.081991,-0.079301,0.999980,0.004002,-0.003607,0.003165
191,635,0.017065,0.007450,-0.194247,0.999988,0.000769,-0.004726,0.001391
459,635,-0.036421,-0.057376,0.049597,0.999931,0.009777,-0.002659,-0.005888
648,461,-0.089330,-0.057799,-0.011707,0.999991,0.003410,0.000556,0.002596
191,274,0.104400,-0.079602,-0.106707,0.999973,0.005053,-0.003746,0.003778
649,178,0.007142,0.193911,-0.055713,0.999965,-0.006080,0.004041,-0.004142
6,178,0.094482,0.082737,-0.206351,0.999985,0.004051,-0.003060,0.002122
7,178,-0.026593,0.084619,-0.258016,0.999914,0.008883,0.008332,0.004804
177,274,-0.081662,-0.029836,-0.058761,0.999984,-0.004802,0.000735,0.002988
192,446,-0.179288,-0.065170,-0.171435,0.999852,0.003940,-0.014241,0.008814
275,462,0.039700,-0.032530,0.083163,0.999950,0.006047,0.007741,-0.001970
650,177,0.164613,0.196637,-0.055562,0.999740,-0.014689,0.016970,0.004146
8,193,-0.042812,0.005872,-0.255647,0.999744,0.008887,0.020773,-0.001149
177,463,-0.001450,-0.035965,-0.189522,0.999712,0.017410,0.014263,0.008288
275,633,-0.024613,-0.032208,-0.029585,0.999747,0.012505,0.017373,0.006900
651,9,0.032476,0.031280,0.010512,0.999984,0.003066,-0.004549,-0.000998
9,176,-0.009763,-0.133615,0.540875,0.999958,0.007623,0.004902,0.001645
176,276,0.010446,0.235949,-0.186472,0.999969,-0.005435,0.001259,0.005523
195,445,0.059178,-0.039824,-0.033302,0.999998,-0.000029,0.000553,0.001961
277,464,-0.086459,-0.053407,0.055945,0.999955,0.005361,0.007083,-0.003248
652,175,-0.088026,0.086621,-0.050455,0.999978,-0.000165,-0.006173,-0.002482
9,196,-0.038223,-0.135258,0.031842,0.999989,-0.002741,-0.000162,-0.003706
176,196,0.050025,0.004541,-0.129568,0.999919,-0.012481,0.001919,0.001347
277,465,-0.159036,0.003872,0.054612,0.999991,-0.000340,0.002584,-0.003454
653,278,0.071021,-0.129016,-0.112064,0.999995,-0.001370,0.002210,0.001588
11,279,-0.099983,0.062531,0.131709,0.999956,0.007900,-0.003293,0.003927
174,466,0.061643,-0.029257,0.090845,0.999885,0.000427,-0.015177,0.000182
278,442,0.064248,-0.249351,-0.080304,0.999994,0.000410,-0.002138,0.002667
465,630,0.236580,-0.070941,-0.125345,0.999967,-0.001507,-0.007997,0.000789
654,467,0.006341,-0.046056,0.038528,0.999981,-0.001529,0.003592,0.004684
12,442,0.085602,0.073091,-0.163178,0.999953,0.000859,0.007489,0.006163
197,442,0.005892,0.053827,0.424052,0.999912,0.000310,-0.012798,0.003394
442,467,0.001360,-0.046334,-0.146458,0.999967,-0.003458,0.007166,0.001772
655,467,0.010481,-0.159700,-0.043108,0.999992,0.002001,0.002867,0.002009
172,281,0.040912,-0.018193,-0.000123,0.999984,-0.003992,-0.003984,-0.000079
199,468,-0.021263,-0.097632,0.073077,0.999963,0.004201,0.004370,0.006039
656,468,0.114618,0.169960,0.014338,0.999997,0.000135,-0.002552,-0.000477
200,282,-0.044952,0.001135,0.095249,0.999971,-0.007504,0.000468,-0.001165
13,201,0.060624,-0.120093,-0.209411,0.999910,-0.006216,-0.010788,0.004936
201,282,0.056237,0.068188,0.338359,0.999710,0.013906,-0.019612,0.001134
658,470,0.054089,-0.234440,-0.113144,0.999995,0.002034,0.001277,-0.002241
16,470,0.049037,-0.044817,-0.152538,0.999966,0.007841,0.001809,-0.001843
659,17,0.013704,0.014661,-0.019287,0.999967,-0.002141,0.000813,0.007841
17,203,-0.002937,0.043210,0.012685,0.999992,0.000229,0.001820,-0.003640
660,204,0.064393,0.021307,-0.005995,0.999985,-0.004402,-0.003246,0.000183
204,285,-0.102083,0.007307,-0.065188,0.999994,0.002234,-0.001173,0.002266
661,286,-0.062300,-0.090983,0.056412,0.999982,-0.004208,0.003977,-0.001294
662,288,-0.008235,-0.064454,-0.382109,0.999981,0.004279,-0.004460,0.000248
165,287,0.029182,-0.014403,0.027427,0.999799,-0.019195,-0.005547,-0.001403
663,288,0.175009,0.056768,0.031331,0.999991,0.000068,0.000377,0.004250
165,289,-0.003652,0.031761,-0.065311,0.999979,-0.005326,0.003385,-0.001683
664,20,-0.082846,-0.029390,0.053015,0.999988,0.002092,0.000869,-0.004378
20,290,0.104034,-0.041024,0.135115,0.999835,-0.011244,-0.014277,-0.000466
207,290,-0.046741,0.094550,-0.047389,0.999976,-0.001742,0.001936,0.006375
290,477,-0.090917,-0.009728,-0.051101,0.999989,-0.001959,-0.000061,-0.004212
208,291,0.024994,0.057526,-0.018565,0.999999,-0.000020,0.001429,-0.000368
23,478,-0.036721,-0.041124,-0.026913,0.999998,0.000402,-0.001126,-0.001382
211,292,0.128324,0.022844,-0.005347,0.999951,0.003358,-0.008934,-0.002447
669,26,0.022288,0.053471,-0.028707,0.999958,0.008200,-0.004149,0.000384
26,481,-0.080054,0.214434,0.357926,0.999988,0.003215,-0.003525,-0.000895
670,213,-0.104109,-0.239250,-0.024220,0.999987,0.004739,-0.001014,0.001237
213,482,-0.048583,-0.054726,-0.023065,0.999943,0.000840,0.006117,-0.008656
27,483,0.037801,-0.023576,-0.293622,0.999972,-0.006608,0.002442,-0.002334
672,29,-0.056569,0.003931,0.026859,0.999980,-0.001737,-0.004024,-0.004485
29,296,-0.038088,0.065372,0.077716,0.999984,-0.002277,-0.002046,-0.004684
297,484,-0.112436,0.093172,-0.023767,0.999966,-0.006989,0.000809,-0.004363
673,301,0.061230,-0.123725,0.004542,0.999997,-0.001028,0.001370,-0.001732
30,300,0.156953,-0.042911,0.208604,0.999958,-0.008837,-0.000883,0.002192
31,299,0.050740,-0.063693,-0.059068,0.999998,0.000536,-0.001404,-0.001213
32,298,-0.034570,0.003577,-0.114689,0.999993,0.002438,-0.001850,0.002332
216,300,0.115905,0.016356,-0.043601,0.999995,0.000317,0.000994,0.002946
217,485,0.118446,0.061562,-0.018444,0.999998,0.000129,-0.001688,0.001448
218,487,-0.023810,-0.006720,-0.083057,0.999983,-0.001197,0.005384,0.001715
300,485,-0.232423,-0.227400,0.580572,0.999813,0.000716,0.019021,0.003393
674,33,-0.058276,-0.000474,0.108328,0.999887,-0.008503,0.012379,0.000544
674,302,-0.010639,-0.076751,0.077607,0.999999,0.000030,-0.001152,-0.000261
31,303,0.165132,-0.077029,0.015976,0.999982,0.003422,0.000899,-0.004905
33,219,-0.171160,0.221719,-0.041978,0.999983,0.002420,0.000784,0.005271
33,488,0.057977,-0.060473,0.129745,0.999991,0.001015,-0.001593,-0.003713
34,302,0.090669,0.093114,-0.094059,0.999984,-0.002395,-0.001806,-0.004873
218,303,-0.007508,-0.101808,-0.205704,0.999935,0.011007,-0.002640,0.001375
219,489,0.004511,0.059836,-0.071374,0.999993,-0.000431,0.001714,0.003191
221,299,-0.122446,0.139920,-0.057441,0.999955,-0.007349,0.004875,-0.003565
