# idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,0.056880,0.148323,0.076509,0.999992,0.003044,0.002614,0.000159
0,456,0.188062,0.159910,-0.068115,0.999981,-0.004388,0.003686,0.002223
645,189,-0.083834,0.038537,0.043599,0.999983,-0.000821,-0.004052,0.004134
2,458,0.050951,-0.065976,0.090180,0.999978,-0.000563,-0.006212,-0.002379
189,270,-0.029322,0.047169,-0.004395,0.999974,-0.006074,-0.000112,0.003859
646,189,0.113654,0.136961,-0.050956,0.999999,-0.000286,0.001098,-0.000168
3,273,0.098754,0.079428,0.073335,0.999994,0.002316,0.001721,-0.002118
189,273,-0.017075,-0.056580,0.075975,0.999950,-0.001487,0.009236,0.003610
273,458,-0.008654,-0.042719,0.022925,0.999988,-0.004185,-0.002484,-0.000008
647,635,0.061987,-0.009119,-0.056921,0.999975,0.005512,-0.000043,0.004443
179,192,0.026481,0.021531,0.150798,0.999941,-0.010207,-0.001668,0.003289
191,635,0.022993,0.068659,-0.149459,0.999962,0.000862,-0.008576,-0.000978
459,635,-0.012900,-0.039538,0.098164,0.999975,0.003872,0.000964,-0.005873
648,461,-0.077760,-0.050607,-0.043926,0.999931,0.009730,0.006359,0.001871
191,274,-0.017600,-0.064030,-0.304828,0.999961,0.007982,-0.000932,-0.003788
649,178,0.013641,-0.025584,0.009261,0.999983,-0.002631,0.004892,0.001699
6,178,0.058254,0.045059,-0.002055,0.999992,0.002058,-0.003407,-0.000914
7,178,-0.009223,0.058519,-0.135368,0.999966,0.008159,-0.000390,0.000590
177,274,-0.093661,-0.041116,-0.028419,0.999898,-0.013480,0.003048,0.003557
192,446,-0.138447,0.017331,0.022063,0.999982,-0.000894,0.001269,0.005792
275,462,-0.003057,0.006091,-0.027819,0.999990,-0.000250,-0.004496,-0.000205
650,177,0.175709,0.222226,0.012269,0.999872,-0.011700,0.008318,0.007132
8,193,-0.153654,0.049815,-0.383179,0.999665,0.005676,-0.025168,0.002154
177,463,-0.019990,0.018057,-0.278797,0.999394,0.028223,0.017639,0.010202
275,633,-0.253285,0.146509,-0.312172,0.999971,-0.006302,0.000976,0.004256
651,9,-0.075420,-0.121697,0.021203,0.999994,0.001793,-0.002599,0.001106
9,176,-0.021980,-0.176326,0.449156,0.999913,0.011607,0.006154,0.000831
176,276,0.024160,0.120621,-0.216866,0.999824,-0.018190,0.001730,0.004175
195,445,0.047179,-0.024338,-0.011570,0.999960,0.008648,-0.000856,0.002261
277,464,-0.036838,-0.062743,-0.027119,0.999968,0.005465,0.005847,0.000509
652,175,0.166883,0.023314,-0.033277,0.999954,0.000325,0.007439,-0.006033
9,196,0.110691,0.024603,-0.025155,0.999990,-0.001183,-0.001865,-0.003794
176,196,-0.022627,-0.105193,-0.280885,0.999933,0.008130,0.007075,-0.004216
277,465,-0.042894,-0.102802,0.023108,0.999988,-0.002743,0.000036,0.004082
653,278,0.060939,-0.100854,-0.128781,0.999981,-0.005207,-0.002901,-0.001225
11,279,-0.123176,-0.038247,-0.132186,0.999970,0.007711,0.000936,-0.000034
174,466,0.112292,0.025044,-0.056875,0.999985,-0.000923,0.005345,0.000194
278,442,-0.095960,-0.105589,0.625016,0.999793,-0.001735,0.020197,0.001845
465,630,0.110695,-0.029778,0.093561,0.999975,0.002253,0.005205,0.004149
654,467,0.017135,0.105289,-0.094243,0.999997,-0.001972,-0.000520,0.001460
12,442,0.163923,0.064841,0.742390,0.999674,0.024561,-0.006632,-0.002207
197,442,-0.071958,0.060268,0.114971,0.999993,0.002788,-0.002466,0.000804
442,467,0.117291,-0.072590,-0.037417,0.999990,0.003818,-0.000051,-0.002375
655,467,0.075708,-0.136701,0.080380,0.999990,0.000036,0.000991,0.004312
172,281,-0.029137,0.098008,-0.131773,0.999994,0.001056,0.003257,0.000347
199,468,-0.036090,-0.203574,-0.070600,0.999971,0.005635,-0.005026,0.001304
656,468,-0.010667,0.028768,-0.163526,0.999950,0.009928,-0.000707,0.000267
200,282,0.013191,0.039880,-0.022716,0.999986,-0.002387,0.001215,-0.004489
13,201,-0.157561,-0.000842,0.127375,0.999957,0.006890,-0.004501,-0.004339
201,282,-0.051964,0.048358,0.062674,0.999976,-0.000701,-0.006176,-0.003129
658,470,0.113625,-0.023200,-0.120693,0.999970,0.006591,-0.003355,0.002369
16,470,0.039016,-0.039870,-0.137391,0.999969,0.007731,0.000990,-0.001077
659,17,-0.010496,0.033377,0.040898,0.999999,0.000281,0.001058,-0.001172
